episode;date;teaser
309;25-1-2017;Creatievelingen Albert en Ina tonen hun bijzondere huis en Alain Caron bereidt zich culinair voor op het Chinees Nieuwjaar op 28 januari!
310;26-1-2017;Martin bouwt een groen fietsenhok bij Jacco en Saskia in Bergen, Sharon maakt een Amerikaanse specialiteit: taart met zoete aardappel.
311;27-1-2017;Alain kookt bij sapfanaten Marjolein en Luuk in Amsterdam en een sprookjesachtig kasteel mét gravin in het Limburgse Amstenrade.
312;28-1-2017;Elke zaterdag: een extra lange uitzending van BinnensteBuiten met de hoogtepunten van de afgelopen week.
313;30-1-2017;Jan en Gua wonen in het oude dorpsschooltje van IJlst, Ramon maakt salade nià§oise en hoe verzorg je mini-ezels? We bezoeken ze op Texel.
314;31-1-2017;Vogelaar Camilla is bij het Lauwersmeer voor wintergasten en Sharon maakt chili. Francine zorgt voor meer sfeer in het huis van Sven.
315;1-2-2017;Een retro-interieur uit de kringloop, een fantastische wandeling mét je hond in Oosterbeek en Léon bezoekt een bijzondere slakkenkweker.
316;2-2-2017;"Ramon kookt Indonesisch! Gamba's, kip in zwarte bonensaus en atjar. Rogier leidt ons rond in de Hortus van Leiden; je komt ogen tekort."
317;3-2-2017;Een bijzonder ecologisch gebouwd huis met bomen in de woonkamer. En Alain proeft ambachtelijk gemaakte likeur op een Brabants familiebedrijf.
318;4-2-2017;Wonen in een stadsboerderij en in een melkfabriek, saltimbocca, zwanen spotten bij een Veluwemeer en een cranberry-boerderij op Terschelling.
319;6-2-2017;Sharon maakt Flammkuchen, vogelaar Arjan geniet van zijn wereldrecord vogelspotten en Erik Gutter toont zijn gerenoveerde Gooise huis.
320;7-2-2017;Irma's huis is zeer bloem- en kleurrijk, boswachter Marieke ontdekt dansende bomen in het Speulderbos. Ramon maakt een half(ge)bakken pizza.
321;8-2-2017;Alain leert van Renate en Frank taartjes bakken zonder suikers en gluten. En een bijzonder huis vol kunst en antiek in Alkmaar.
322;9-2-2017;Sharon maakt glutenvrije brownie, Nanda krijgt hulp van tuinspecialist Martin bij het opknappen van haar tuin in Hilversum en Joyce woont in een voormalige school.
323;10-2-2017;Een voormalige burgemeesterswoning in het Friese Workum. Leon en biersommelier Fiona proeven wilde bieren bij een 23-jarige bierbrouwer.
324;13-2-2017;Kasper en Lisa laten hun duurzame piepschuimen huis zien, Ramon maakt Indonesische pepesan en boswachter Marieke gaat per kano door 't Groningse Ter Apel.
325;14-2-2017;Sharon maakt kip met bloemkoolpuree, de tuinpassie van Albert en dochter Linda en Francine geeft de slaapkamer van Korrie meer sfeer.
326;15-2-2017;Het huis van Sander van Eyck kan zó in een James Bondfilm en vanille van Nederlandse bodem bestaat. Alain Caron maakt er iets heerlijks mee.
327;16-2-2017;De tweelingzussen Marije en Cunera bezitten vijftig IJslandse paarden in Weesp en Ramon legt stap voor stap uit hoe je een slagroomtaart maakt.
328;17-2-2017;Tilburgse gezelligheid: het huis van Jet en Eric heeft een bruin café in de kelder. Alain proeft speciale waddenrum met duindoornbessen en cranberries.
329;18-2-2017;Huis van interieurontwerper Erik Gutter, creatief huis in Renkum, recept voor inktvis, alles over likeuren en dieren bij Fort Rijnauwen.
330;20-2-2017;Een gerestaureerde stadsboerderij in Workum, Sharon maakt Spaanse omelet en Martin maakt van een zanderige achtertuin een groene oase.
331;21-2-2017;Ramon maakt een carnavalsgerecht, boswachter Marieke rijdt paard rondom Schoorl en een huis in Almere dat geen ramen lijkt te hebben.
332;22-2-2017;Een volledig zelfopgeknapt knus boerderijtje in Herwen en Alain bezoekt een historische molen, waar walnotenolie wordt 'geslagen'.
333;23-2-2017;Sabien zwemt dagelijks in de Noordzee, Sharon maakt Antilliaanse Funchi met gehaktballetjes en een duurzaam huis met Japanse invloeden.
334;24-2-2017;Leon maakt soep voor twee wijnspecialisten die er een speciaal flesje voor cuveren en een Vleutense droomvilla gaat op in het landschap.
335;25-2-2017;Voormalige burgemeesterswoning, duurzaam huis met ronde vormen, 50 IJslanders, glutenvrije brownies en 23 -jarige student met bierbrouwerij.
336;27-2-2017;Ramon maakt een Griekse lekkernij met een Duitse naam: Strudel en vogelaar Camilla bezoekt meeuwen in de stad Deventer.
337;28-2-2017;Francine knapt Miranda's zolder op, het Arboretum op de berg van Wageningen en Sharon maakt spruitjesstamppot met linzenburgers.
338;1-3-2017;"Een tour met de boswachter op festival Grasnapolsky & chef-kok Léon is bij Giel; zijn Hereford koeien worden volledig gebruikt na de slacht."
339;2-3-2017;Een rondleiding over twee buitenplaatsen in 't Gooi, een oude stolpboerderij die zeer energiezuinig is en Ramon maakt speciale worstenbroodjes.
340;3-3-2017;Franklins Limburgse huis staat vol bijzondere verzamelingen en Alain ontmoet vier jonge jongens die jenever populair willen maken. Met succes!
341;4-3-2017;Statig herenhuis, woning zonder ramen, paardrijden in de Schoorlse Duinen, ambachtelijke walnotenolie en half-gebakken plaatpizza.
342;6-3-2017;Koen transformeert zijn bungalow tot villa, Sharon maakt vegetarische Foe Yong Hai en Hans houdt de bomen én inwoners van Amsterdam blij.
343;7-3-2017;Boswachter Marieke zoekt bevers en dassen in natuurgebied het Schuitwater, het exotische huis van Souraya in Abbenes en Ramon maakt sticky chicken.
344;8-3-2017;Alain kookt voor twee gepassioneerde jammakers. Met welk jams kookt hij? En wonen in een kapschuur in het Drentse natuurgebied Diependal.
345;9-3-2017;Een schattig achthoekig houten huis, Sharon kookt bruine bonen met rijst en gebakken banaan. Hennie en Goos laten hun boerenerf zien.
346;10-3-2017;Léon Mazairac ontmoet de Twentse bierbrouwende zwagers Dirk en Bart en je ziet het bijzondere kunstenaarshuis van Mirko en Anke.
347;11-3-2017;Stadboerderij in Workum, eclectisch huis in Utrecht, Flammkuchen met soep, wijn cuveren en de grootste orchideeëncollectie ter wereld.
348;13-3-2017;Wonen in een gerenoveerde watermolen uit 1773, Sharon kookt met restjes rijst en aardappel, boswachter Marieke zoekt het oer-schaap, de moeflon.
349;14-3-2017;Interieurontwerper Francine tovert een aanbouw om in een tuinkamer en Ramon maakt hele kip met zelfgemaakte appelmoes, mayonaise en frieten.
350;15-3-2017;Alain kookt met Estée Strooker met voedselrestanten, stinzenplanten in het Friese Stiens en een gerenoveerde boerderij in het Drentse Wezup.
351;16-3-2017;Een huis met hergebruikt interieur én uitzicht op de duinen, achter de schermen bij de Hortus Amsterdam en Ramon maakt spaghetti met salami.
352;17-3-2017;Nina heeft een jaren 30-appartementenhotel zó verbouwd dat je je in New York waant en de Wiltshire Horn-schapen van Annemarie in Petten.
353;18-3-2017;Droomhuis in Vleuten, achthoekige recreatiewoning in Soest, vanille van Nederlandse bodem, sticky chicken en het oer-schaap: de moeflon.
354;20-3-2017;Wonen in een voormalig raadhuis in het Goningse Ezinge, Sharon kookt met courgette, zalm en avocado en kippen die werken in een leliekas.
355;21-3-2017;Een loft-appartement in hartje Utrecht, Ramon maakt ossobuco en een Italiaanse broodsalade en Camilla zoekt de specht in het bos.
356;22-3-2017;Alain leert brood maken met zeewater in Bruinisse en Martin helpt twee gezinnen in Purmerend om van hun voortuinen één gezamenlijke oase te maken.
357;23-3-2017;Wonen in een voormalige drogisterij, Sharon kookt Thais en een rondleiding op het Twentse landgoed Singraven.
358;24-3-2017;Een nieuwe gezicht. Sommelier Lendl Mijnhijmer maakt indruk als hij esprits proeft met chef-kok Leon en een droomwoonboot in Amersfoort.
359;25-3-2017;Gerenoveerde watermolen, designhuis met elektronische hoogstandjes, vegetarische foeyonghai, jenever met smaakjes, en bevers in Limburg.
360;27-3-2017;Wonen in een oud gemaal, Ramon maakt Spaanse tapas en de ooievaar brengt lente in de Ooijpolder.
361;28-3-2017;Sharon maakt een betaalbare andijviestamppot, Jan showt zijn indrukwekkende vlinderkas en Francine maakt van een zolder een meisjeskamer.
362;29-3-2017;Chef-kok Leon kookt met insecten, en een huis met een eigen geluidsstudio en heel veel kunst in Rotterdam.
363;30-3-2017;Lammetjestijd op Texel betekent topdrukte voor boer Witte met 25 schapenrassen en het bijzondere landhuis Oosterhouw in Noord Groningen.
364;31-3-2017;Janny en Arie wonen in een voormalig stationnetje en culinair expert Alain oogst oesters in Yerseke voor een verrassende drank: oesterwodka.
365;1-4-2017;Woonboot aan de Eem, voormalig gemeentehuis van Ezinge, Spaanse tapas, brood met water uit de Oosterschelde en natuur uit de Ooijpolder.
366;3-4-2017;Wonen in een oude smederij in Haarlem, een kikkererwtensalade van Sharon en de lente betekent op landgoed Bingerden vooral veel bloemen.
367;4-4-2017;Ramon maakt met Japanse ingrediënten een Poké Bowl, dansende koeien op Mariënwaerdt en het huis van Wilma en Bertil is geinspireerd op een oude veeschuur.
368;5-4-2017;Boswachter Marieke laat de xylotheek en de tuinen van buitenplaats Groeneveld zien en Alain gaat vissen vangen op Terschelling, met Flang.
369;6-4-2017;Een bijzonder rijtjeshuis in Kampen, Sharon maakt kokos-kerrie kippenboutjes en Martin pakt een tuin in Egmond aan.
370;7-4-2017;Chef-kok Léon en sommelier Milton vieren de lente met rosé en bubbels bij een wijndomein en Karel woont en werkt in zijn jachtwerf in Sneek.
371;8-4-2017;Een kleurrijk huis vol kunst, wonen in een oude gemaal, courgette met zalm en avocado, Leon en Lendl proeven esprits, en lammetjes op Texel.
372;10-4-2017;Een verbouwde boerderij in een natuurgebied, Ramon maakt snelle Beef Stroganoff en caesarsalade en vindt Marieke de zeearend in de Biesbosch?
373;11-4-2017;Een tuin vol bijzondere bolgewassen, Francine maakt een woonkamer gezelliger en Sharon kookt falafel van witte bonen en linzensalade.
374;12-4-2017;Een levensloopbestendig huis midden in de natuur, Alain bezoekt een kaasboerderij midden op de Kagerplassen en de mooiste bloesemtocht van Nederland.
375;13-4-2017;Een verbouwde boerderij met Amerikaanse invloeden en Ramon pakt uit met vier gerechten voor de paasbrunch.
376;14-4-2017;Een historische voormalige bibliotheek in Zutphen is nu een woonhuis en Alain komt in paasstemming met eier-likeur van struisvogeleieren!
377;15-4-2017;Feestelijke paasbrunch, dansende koeien, jachtwerf in Sneek, Alain kookt op Terschelling en Martin knapt een tuin op in Egmond aan Zee.
378;17-4-2017;Een monumentale boerderij met net geboren lammetjes! En Alain bezoekt een topchocolatier voor paaseitjes met een vulling van dennennaalden!
379;18-4-2017;Een dakterras wordt onder Martins leiding een oase, een houten woning ontworpen door je zoon en Sharon maakt soep, geserveerd op een broodje.
380;19-4-2017;Ramon maakt linguini met kabeljauw, vogelaar Camilla zoekt de Roodhalsfuut en een zeer creatief interieur in Haarlem.
381;20-4-2017;"Yvonne heeft Falabella's; mini paardjes, een tot familiehuis omgebouwde bakkerij en Sharon maakt een gerecht met Sopropo, tofu en zeewier!"
382;21-4-2017;Een duurzame villa, geà¯nspireerd op een Afrikaanse lodge. En chef-Kok Léon proeft met sommelier Lendl Nederlandse Whiskey in Doesburg.
383;22-4-2017;Wonen in een monumentale boerderij, en een voormalige drogisterij, Thaise kippensoep, wijnen met en zonder alcohol en op zoek naar de zeearend.
384;24-4-2017;Een kleurrijk huis in Sassenheim, Ramon maakt aspergesoep met voorjaarssalade en Hampshire Down schaapjes in Beek.
385;25-4-2017;Alain bezoekt een Gelders landgoed met Aberdeen Angusrunderen en Marieke gaat per supboard door een veenpolder in de Zaanstreek.
386;26-4-2017;Een monumentaal pand is gerestaureerd in de oude stijl en speciaal voor Koningsdag maakt Ramon oranje tompoucen.
387;27-4-2017;Een rondleiding in de tuinen van Paleis Het Loo, Francine verandert een woonkamer in Nijkerk en Sharon maakt gnocchi van zoete aardappel.
388;28-4-2017;Een slim gebouwde woning pal naast de hefbrug in Rotterdam en Alain leert van koffie-expert Fiona alles over filterkoffie.
389;29-4-2017;Drijvend huis in Lelystad, Poké Bowl van Ramon, Alain proeft likeur van struisvogelei en Marieke is op buitenplaats Groeneveld in Baarn.
390;1-5-2017;Een gerenoveerde boerderij uit 1890, een freekehsalade en gefrituurde avocado en Inekes witte pauwen hebben staarten als Brussels kant.
391;2-5-2017;Camilla zoekt kuikens van haar lievelingsvogel, de lepelaar, een Thaise curry met bijpassende salade en wonen in een voormalig gymnasium.
392;3-5-2017;Alain kookt met chef-kok Nel Schellekens die à¡lles van 't beest gebruikt en Annette eet het hele jaar groenten uit haar indoormoestuin.
393;4-5-2017;Een duurzaam huis gebouwd van stro, hout en leem, Sharon maakt Italiaanse boerenkool en Martin Stuger geeft een tegeltuin meer groen.
394;5-5-2017;Een bijzondere bungalow in het groen en Leon en Lendl ontmoeten Rotterdamse Maidie die siropen maakt met pluksels uit de stadsnatuur.
395;6-5-2017;Corine brengt kleur in het huis van Patrick, Sharon maakt kokos-kerrie kip, Lendl proeft Nederlandse whisky en Marieke bezoekt vogeleiland.
396;8-5-2017;Een modern Haarlems grachtenpand, Sharon maakt vega-enchiladas met witlofsalade en Yvonne houdt alle zwanen van Houten in de gaten!
397;9-5-2017;Ramon kookt snelle tomatenrisotto met gebakken sardientjes, Francine brengt ontspanning in Cuijk en de kievitsbloemen in Drenthe.
398;10-5-2017;Een deels ondergronds, duurzaam huis en hoeve 't Boschend, de biologische boerderij met Blonde d'Aquitaine koeien en paardenrusthuis.
399;11-5-2017;Een twee hectare grote tuin in Hoevelaken, een voormalige rentenierswoning in Groningen en Ramon maakt heerlijk chocoladegebak: sachertaart.
400;12-5-2017;Een voormalige school in Amsterdam en culinair expert Alain Caron maakt kennis met de ambachtelijk ijsmakersfamilie Van der Ham in Meerkerk.
401;13-5-2017;Gerenoveerde hoeve van Ton en Huub, ouderwetse slagroomtaart van Ramon, Alain bezoekt Aberdeen Angus runderen en Camilla spot lepelaars.
402;17-8-2017;Een duurzaam huis ontworpen door je eigen zoon, Ramon maakt tortilla's met stoofvlees en Marieke wandelt de hoogste route van Nederland.
403;18-8-2017;"Binnenkijken in één van de best bewaarde Rococohuizen van Amsterdam en wijn gemaakt van druiven gedroogd op stro; strowijn."
404;21-8-2017;Cecile en haar man Hubert wonen in een statig herenhuis, Ramon maakt gevulde speculaas en Marieke is op Waddeneiland Texel.
405;22-8-2017;Een monumentaal pand in het Groningse Tolbert en Alain Caron bezoekt een familiebedrijf met een bijzonder varkensras.
406;23-8-2017;Interieurontwerper Francine brengt kleur in een woonkamer en de notenbomenkwekerij van Ton en Cees kent 140 verschillende rassen.
407;24-8-2017;Sharon maakt nasi van bloemkool en chorizo, het bos in met paddenstoelenexpert Edwin Cornelissen en wonen in rijksmonument de Dalempoort.
408;25-8-2017;In Houten ligt het droomhuis van Dorothy: Huis Hofstede en Alain is in de Betuwe waar eau de vie, ofwel levenswater, wordt gestookt.
409;28-8-2017;Een nieuw huis tussen rijksmonumenten in De Negen Straatjes in Amsterdam en 2000 soorten planten in het arboretum van Ciska en Martijn.
410;29-8-2017;Boswachter Marieke is bij het Munnikenland naast Slot Loevestein, Sharon maakt een snelle uiensoep en een verbouwde keuterboerderij in Oeken.
411;30-8-2017;Alain kookt in IJmuiden samen met visexpert Nico Waasdorp met 'scharrelvis', ofwel bijvangst, en wonen in een waterkelder van een voormalig pomphuis.
412;31-8-2017;Een creatief klushuis in Rotterdam, Martin plant bollen in Nieuwveen en Ramon maakt hertensukade met hete bliksem.
413;1-9-2017;Marjet van Zuijlen en haar man tonen hun Haags herenhuis vol kunst en Leon en Milton proeven in Leerbroek een bijzondere port van walnoten.
414;2-9-2017;Een Haags herenhuis vol kunst, uiensoep met kaasbrood, een voormalig pomphuis als uniek woonobject, het Texelse natuurgebied en ambachtelijk gemaakte stroop.
415;4-9-2017;Lise en Chris maken van een huurwoning een hip appartement, bijzondere bloeiende planten in de Leidse Hortus en Sharon barbecuet met zalm.
416;5-9-2017;Een uniek huis in het Haagse Hofje van Nieuwkoop, Martin creëert privacy in een Apeldoornse tuin en Alain maakt soto ayam met Iris en Eveline.
417;6-9-2017;In Lent ontwerpen Casper en Enya hun eigen duurzame huis, Marieke vindt wilde orchideeën in Het Gerendal en Ramon maakt aardbeienschelpen.
418;7-9-2017;Imker Thomas gaat naar Vlieland voor de bevruchting van zijn bijenkoninginnen, Sharon kookt in de buitenlucht en Pieter bouwt een duurzaam huis van zwarthout.
419;7-9-2017;Een herenhuis in Dordrecht is na renovatie een woonpaleis met Italiaanse invloeden en Nadia kookt bij Jan Willem op Texel met schapenkaas.
420;8-9-2017;De bijzondere druivenkwekerij 'Sonnehoeck' in Kwintsheul en Alain en biersommelier Fiona proeven bier in de 'smaakspeeltuin' van Ramses.
421;11-9-2017;"De Leidse Oranjerie is nu een bijzonder woonhuis; Sharon barbecuet met groenten en grillkaas; Henk heeft 30 bijenvolken onder zijn hoede in Odijk."
422;12-9-2017;In Wierden staat een huis vol duurzame snufjes, Ramon maakt varkenslende in de buitenkeuken en Camilla hoort de zang van vogels in de Waterleidingduinen.
423;13-9-2017;Een rijtjeshuis in Swifterbant met creatief interieur, Leon kookt met ingrediënten uit het Voedselbos en Richard en Carina zijn gek op hun waterbuffels.
424;14-9-2017;In Arnhem heeft alles in het huis van Jorine en Egbert-Jan een verhaal, Ramon barbecuet vegetarisch en de bijzondere collectie rozen in het Belmonte in Wageningen.
425;15-9-2017;Klaas en Petra verbouwen een stolpboerderij in Bergen tot luxe verblijf en Alain kookt met cacao die duurzaam is getransporteerd met behulp van zeilend vrachtschip.
426;16-9-2017;Een huisje vol kunst in een Haags hofje, wilde orchideeën in Limburg, aardbeienschelpen, een verbouwd oud herenhuis en schapenkaas op Texel.
427;18-9-2017;"Ingrids interieur in Harmelen heeft veel oude elementen; Sharon kookt met haar moeder; Marieke zoekt vlinders bij Fort Edam."
428;19-9-2017;"Een zwart geblakerde ecowoning in Rotterdam; Ramon maakt een betaalbare Australische pie; en een historische ommuurde moestuin in Renkum."
429;20-9-2017;"Alain proeft in Zeeland bottarga, een visspecialiteit; Ria en Jan wonen in Beemster in een historisch huis met een hedendaagse enorme tuin."
430;21-9-2017;In Ouderkerk aan de Amstel ligt een droomhuis op het water en Nadia maakt wat lekkers met de bijzondere perenrassen van Wouter.
431;22-9-2017;In Breda staat een verscholen huis met een oude druivenkas en Alain proeft wodka die is gemaakt van biologische tulpenbollen.
432;23-9-2017;Sharon kookt met haar moeder, een voormalige oranjerie, Alain kookt met duurzame cacao, een flat vol vintage en de Hortus in Leiden.
433;25-9-2017;Sharon maakt een vegetarische linzencurry, een romantisch ingerichte boerderij en Martin maakt van een tegelmassa een gezellige achtertuin.
434;26-9-2017;Ramon maakt een oosters zalmgerecht, een fruittuin met bijzondere fruitsoorten en vogelaar Camilla gaat op zoek naar de grauwe kiekendief.
435;27-9-2017;Alain proeft buffelmozzarella van Nederlandse bodem en maakt er een gerecht mee en in de grootste volkstuin van Nederland in Eindhoven.
436;28-9-2017;Sharon maakt tjap tjoy bomvol groenten, een hagelwit ingericht huis in het bos en mediterrane mini-ezels in Brabant.
437;29-9-2017;Speciale uitzending die helemaal in het teken staat van het eerste BinnensteBuiten Festival in de Lage Vuursche, mét de BB-experts.
438;30-9-2017;Een hip appartement, Australische meat pie, de grauwe kiekendief, wodka gemaakt van biologische tulpenbollen en een verbouwde stolpboerderij.
439;3-10-2017;Een bijzondere ecologische kaswoning in Rotterdam, Alain kookt met Nederlandse quinoa en een grote prairietuin met 350 soorten siergrassen.
440;4-10-2017;"In Urmond staat een gerenoveerde boerderij met een bijzondere tuin; en Stijn fokt kunekune varkens in het Brabantse Haps."
441;5-10-2017;Culinair schrijver Nadia Zerouali bezoekt een druivenkwekerij en in Limburg ligt een grote tuin met 600 verschillende boom- en struiksoorten.
442;6-10-2017;Een zeer kleurrijk, voormalig juwelierspand in Schoonhoven en Alain proeft bier van een klooster in de Bijlmer.
443;7-10-2017;Een kleurrijk voormalig juwelierspand, een Oosters zalmgerecht, een kaswoning, mini-ezels en een gerecht van bijzondere perenrassen
444;9-10-2017;Jessica en Martijn wonen in een oude Zutphense muziekschool, Ramon bakt schol en maakt een preistampotje en boswachter Marieke zoekt mieren in Drenthe.
445;10-10-2017;"Een twee-onder-een-kaphuis in Warnsveld vol kunst & design; Sharon maakt hartige muffins & wortelsoep; Martin knapt een Utrechtse tuin op"
446;11-10-2017;Een Meppels nieuwbouwhuis heeft veel oude elementen en Alain Caron bezoekt een alpacaboerderij in het Utrechtse Wilnis.
447;12-10-2017;Een ecologisch, zelfvoorzienend huis in Friesland, Ramon bakt bosvruchten-cheesecake en de historische moestuin Eyckestein in Maartensdijk.
448;13-10-2017;In Amersfoort staat een droomhuis met een oosterse tuin, chef-kok Leon scharrelt in Brabant met een bijzondere kip, de Poule den Dungen.
449;14-10-2017;Een nieuwbouwhuis met oud interieur, kunekunevarkens, een ultrawit boshuis, hartige muffins met wortelsoep en Alain kookt met quinoa.
450;16-10-2017;Een bijzonder benedenhuis in Rotterdam, Ramon maakt Marokkaanse kip, muhammara en batbots en vogelaar Camilla is op het Drentse Hijkerveld.
451;17-10-2017;"Sharon maakt knolselderijpuree en sucuk; in Rijsbergen realiseert Ton zijn droomtuin; Annelies' woonkamer in Hoofddorp wordt gerestyled."
452;18-10-2017;Alain proeft in Raalte artisjokken van eigen bodem bij kweker Jan Overesch en een uniek landhuis met een vaderlandse geschiedenis.
453;19-10-2017;In Amsterdam bakt Nadia echte baklava met Ahmed, in Piets paradijs in Harskamp groeien passiebloemen en fuchia's en leven vlinders.
454;20-10-2017;Japan inspireert Camille bij haar drank die Alain mag proeven, een biodynamische landschapstuin in Molenrij en een verbouwde boerderij.
455;21-10-2017;Landhuis Huys ten Donck, verbouwd herenhuis in Rotterdam, Ramon bakt cheesecake, Leon bezoekt Voedselbos en Marieke bestudeert mieren.
456;23-10-2017;Een zelfontworpen droomark vol kunst, Ramon maakt een snelle pasta met mosselen en de tuin van het Limburgse Kasteel Amstenrade.
457;24-10-2017;Een patiowoning in het groen, met Sharons vegetarische lasagna eet je voldoende groenten en Martin voorkomt kunstgras in Karins tuin in Oss.
458;26-10-2017;Een duurzaam houten huis, Sharon maakt tofupannenkoeken en gegrilde courgettesalade en een bijzondere pompoenenkwekerij in Limburg.
459;27-10-2017;Een vervallen boerderij in Schoonhoven is nu een zwart droomhuis en Leon en Lendl proeven in Kloosterburen (Groningen) wijn van aalbessen.
460;30-10-2017;Op een industriegebied is van twee appartementen één huis gemaakt, Sharon maakt bijzondere stamppot en de blije legkippen in Hooghalen.
461;31-10-2017;Ramon maakt het populaire shakshuka, een interieurverrassing in Zeewolde en boswachter Marieke gaat snorkelen in Millingerwaard.
462;1-11-2017;Een Allerheiligen-huis in Dongen-Vaart: de voormalige Hubertuskerk en chef-kok Léon plukt en kookt met 17e eeuwse pruimen op het Muiderslot.
463;3-11-2017;Alain is op een bijzondere Zeeuwse kwekerij, de paddenstoelen van park Clingendael en een lichte villa met veel hout en ruimte in Heesch.
464;6-11-2017;Met je familie in de kerk... als woonhuis dus, in Alphen aan den Rijn en Marieke gaat op kraamvisite bij de boomkikkers in het Merkske.
465;7-11-2017;Een volledig herbouwde pastoriewoning, Sharon maakt betaalbare gestoofde pompoen en Roxane krijgt een nieuwe voortuin.
466;8-11-2017;De kleurende bomenpracht van het geheimzinnige landgoed Singraven, en Oos leert Alain alles over inleggen en tafelzuren.
467;9-11-2017;Een bijzonder ecohuis met groen dak in Holten, Ramon maakt tataki van tonijn en alle verhalen over de bomen in Zwolle.
468;10-11-2017;Een authentieke stadsvilla in hartje Valkenburg en Léon plukt en kookt met Nederlandse hazelnoten.
469;13-11-2017;Een eclectisch huis in Friesland met aan alle kanten bos, Sharon maakt kelpnoedels met cassave en bimi en het oerbos van Park Vijversburg.
470;14-11-2017;Een doorgebroken Rotterdams rijtjeshuis, Ramon maakt Indiase samosa, boswachter Marieke is op het onbewoonde Rottummeroog.
471;15-11-2017;Nederlands' bekendste schaapherder is Catrinus Homan. Hij traint zijn honden met eenden! Alain Caron kookt op een Nederlandse theeplantage.
472;16-11-2017;Nadia Zerouali plukt met een wildplukgids Judasoor en sleedoorn in het Westduinpark & interieurstylist Debby transformeert een gang in Venlo.
473;17-11-2017;Chef-kok Leon en sommelier Lendl proeven likorette in de Achterhoek en een heerlijk verzamelaarshuis in hartje Amsterdam.
474;20-11-2017;Een voormalige varkensschuur in Diepenheim is nu een duurzame, bijzondere woning en Ramon maakt zelf kalfsschnitzel met zigeunersaus en rösti.
475;21-11-2017;Sharon maakt Italiaanse broodsalade en paprikasoep, binnenkijken bij Stefanie in Haarlem en buiten kijken op een landgoed in Halsteren.
476;22-11-2017;Een oude boerderij vol brocante, Alain ontmoet ambachtelijke slagers met een passie en Martin knapt een tuin op bij een Syrisch gezin.
477;23-11-2017;Een oude kapperszaak in Delft is nu een knus huis, Sharon maakt orzo met kip en Camilla zoekt paalzittende vogels langs de snelweg.
478;24-11-2017;Villa Fazantenbos is een huis vol kunst in Helvoirt, Leon proeft kastanjebier in Hilversum en een natuurboerderij met niet-alledaagse dieren.
479;25-11-2017;Een Valkenburgse stadsvilla, Ramon maakt vegetarische samosa, bijzonderen eenden en kalkoenen en Leon zoekt op Texel naar hazelnoten.
480;27-11-2017;Hoe woon je in een oude vrachtwagenloods, Sharon maakt een gezondere versie van fish & chips en boswachter Marieke is in de Achterhoek.
481;28-11-2017;Chef-kok Ramon bakt eendenborst, het 2,5 ha grote arboretum Tuinvreugd én een boerderij uit 1871 in Geesteren is verbouwd tot ecowoning.
482;29-11-2017;De Sint heeft Amerigo- maar waar halen hulpsinterklazen hun paarden? En Nadia Zerouali is in Utrecht voor Israelische hummus met een twist.
483;30-11-2017;Binnenkijken in historische villa 'Huis de Dames van den Berg' in Benthuizen en Ramon maakt een speculaaspop, borstplaat en kruidnoten.
484;1-12-2017;Toen Jan en Judith vijf jaar geleden een patriciërshuis in Abcoude kochten, was het een spookhuis. Na de grondige verbouwing is het een warm familiehuis geworden. Alain proeft oud-Hollandse hangop.
485;2-12-2017;Een kleine bosvilla vol kunst, sinterklaaslekkers, het grote arboretum Tuinvreugd en Nadia plukt met een wildplukgids in het Westduinpark.
486;4-12-2017;Wonen in een oud locomotiefstation in Groenlo, Ramon heeft een snel gerecht voor pakjesavond en Marieke wandelt in het Twentse Springendal.
487;5-12-2017;Een energieproducerend huis in Oosterwold, Sharon maakt een exotische macaronischotel en de ossen van boerenfamilie Pelleboer in Zwolle.
488;6-12-2017;Het huis en atelier van kunstenares Arty Grimm en chef-kok Leon maakt een clubsandwich-de-luxe voor ambachtelijke bakkers Ralph en Patty!
489;7-12-2017;Anneke en Aernout hebben het ook 's winters druk met hun prachtige tuin, een zeer creatief jaren 30 huis in Leeuwarden en Ramon maakt paëlla!
490;8-12-2017;Wie woont in de blauwe landbouwschuur in het Zeeuwse Groede? Alain en sommelier Lendl leren hoe een prachtig kerstdiner lowbudget kan.
491;9-12-2017;Een patriciërshuis in Abcoude, Sharon maakt fish & chips, Camilla zoekt paalzittende vogels en Alain ontmoet ambachtelijke slagers.
492;11-12-2017;Een rijksmonument vol bijzondere muurschilderingen, Sharon maakt boekweitwraps met hummus en gegrilde groenten en Dexterkoeien in Wehl.
493;12-12-2017;Een voormalige likeurstokerij is nu een heerlijke loft, Ramon maakt goulashsoep en saucijzenbroodjes en Martin helpt Margot met haar achtertuin.
494;14-12-2017;Nadia plukt in Zeeland zeewier onder water en Tim woont in een karakteristiek pand uit 1910 in Voorburg, met veel oude details én nieuwe snufjes.
495;15-12-2017;Een stijlvol en energieneutraal herenhuis in het Brabantse Soerendonk en Alain proeft in Eibergen zachte, wat zoetige karnemelk bij Claudia.
496;16-12-2017;Binnenkijken in een historische villa, Ramon maakt paëlla, Dexterkoeien in Wehl en Leon bezoekt ambachtelijke bakkers Ralph en Patty!
497;18-12-2017;Sharon maakt voor het BB-kerstmenu de amuses, een nieuwbouwhuis vol brocante en paspoppen en je eigen kerstboom kappen met de boswachter.
